pair_id,band,paradigm,source_index,source_pair_id,prefix,suffix,good_verb,bad_verb,sentence_good,sentence_bad,source_bad_verb,selected_pair_id,good_whole_lp,good_verb_lp,good_suffix_lp,good_by_lp,good_n_scored_tokens,good_verb_tokens,bad_whole_lp,bad_verb_lp,bad_suffix_lp,bad_by_lp,bad_n_scored_tokens,bad_verb_tokens,whole_margin,verb_margin,suffix_margin,by_margin,correct
head/passive_1/22,head,passive_1,22,22,These liberals weren't , by the tease.,insured,vanished,These liberals weren't insured by the tease.,These liberals weren't vanished by the tease.,competed,head/passive_1/insure/was,-52.693888425827026,-11.627276420593262,-21.797097325325012,-3.2528910636901855,9,1,-54.68950444459915,-13.611651420593262,-21.808338344097137,-3.5786328315734863,9,1,1.9956160187721252,1.984375,0.011241018772125244,0.3257417678833008,1
head/passive_1/49,head,passive_1,49,49,Winston Churchill was , by a prince.,blamed,struggled,Winston Churchill was blamed by a prince.,Winston Churchill was struggled by a prince.,arrived,head/passive_1/blame/was,-41.485631227493286,-9.832691192626953,-19.345411777496338,-2.5839948654174805,8,1,-46.232714891433716,-14.332691192626953,-19.592495441436768,-4.019205570220947,8,1,4.74708366394043,4.5,0.2470836639404297,1.4352107048034668,1
head/passive_1/53,head,passive_1,53,53,A guest is , by these truths.,defended,participated,A guest is defended by these truths.,A guest is participated by these truths.,struggled,head/passive_1/defend/was,-45.45906901359558,-12.2546968460083,-18.352856397628784,-0.8535090684890747,7,1,-50.09093523025513,-13.8953218460083,-21.34409761428833,-2.5421488285064697,7,1,4.631866216659546,1.640625,2.991241216659546,1.688639760017395,1
head/passive_1/58,head,passive_1,58,58,This prof is , by every librarian.,robbed,belonged,This prof is robbed by every librarian.,This prof is belonged by every librarian.,struggled,head/passive_1/rob/was,-51.081303007900715,-12.62143325805664,-23.9573687389493,-2.227015972137451,8,1,-53.178372740745544,-15.88315200805664,-22.79271972179413,-3.7822587490081787,8,1,2.0970697328448296,3.26171875,-1.1646490171551704,1.5552427768707275,1
head/passive_1/82,head,passive_1,82,82,This attendant wasn't , by a lot of narratives.,hosted,existed,This attendant wasn't hosted by a lot of narratives.,This attendant wasn't existed by a lot of narratives.,remarked,head/passive_1/host/was,-62.687591165304184,-14.830488204956055,-25.683121621608734,-0.7390842437744141,10,1,-61.82425108551979,-16.053144454956055,-23.59712529182434,-3.109363555908203,10,1,-0.8633400797843933,1.22265625,-2.0859963297843933,2.370279312133789,0
head/passive_1/113,head,passive_1,113,113,Most investigators are , by that raising.,lent,opted,Most investigators are lent by that raising.,Most investigators are opted by that raising.,occurred,head/passive_1/lend/was,-50.011823415756226,-12.657855987548828,-25.307595014572144,-2.7705957889556885,7,1,-54.802873611450195,-14.532855987548828,-28.223645210266113,-4.300511837005615,7,1,4.79105019569397,1.875,2.9160501956939697,1.5299160480499268,1
head/passive_1/121,head,passive_1,121,121,A lot of majors aren't , by most costumes.,upgraded,complained,A lot of majors aren't upgraded by most costumes.,A lot of majors aren't complained by most costumes.,competed,head/passive_1/upgrade/was,-61.780580535531044,-11.143074989318848,-25.942535042762756,-3.9697718620300293,10,1,-64.34403349459171,-12.549324989318848,-27.099738001823425,-5.509829998016357,10,1,2.563452959060669,1.40625,1.157202959060669,1.5400581359863281,1
head/passive_1/125,head,passive_1,125,125,Most cowboys were , by these legislators' mothers.,crowned,objected,Most cowboys were crowned by these legislators' mothers.,Most cowboys were objected by these legislators' mothers.,emerged,head/passive_1/crown/was,-58.86906883120537,-10.098140716552734,-33.53690719604492,-3.117515802383423,10,1,-62.904642194509506,-14.402828216552734,-33.26779305934906,-4.015899181365967,10,1,4.035573363304138,4.3046875,-0.2691141366958618,0.898383378982544,1
head/passive_1/127,head,passive_1,127,127,Most guys weren't , by every expectation.,imposed,emerged,Most guys weren't imposed by every expectation.,Most guys weren't emerged by every expectation.,replied,head/passive_1/impose/was,-52.33977034687996,-14.907844543457031,-21.72526240348816,-2.652100086212158,8,1,-56.82877841591835,-15.614875793457031,-25.50723922252655,-5.2444000244140625,8,1,4.489008069038391,0.70703125,3.781976819038391,2.5922999382019043,1
head/passive_1/142,head,passive_1,142,142,Some psychic's sisters weren't , by these complications.,imposed,emerged,Some psychic's sisters weren't imposed by these complications.,Some psychic's sisters weren't emerged by these complications.,competed,head/passive_1/impose/was,-71.40905905421823,-13.91318130493164,-21.647047758102417,-2.907413959503174,10,1,-70.90842033084482,-14.54599380493164,-20.513596534729004,-3.8655285835266113,10,1,-0.5006387233734131,0.6328125,-1.133451223373413,0.9581146240234375,0
