alignment_status,frame,full_context,full_context_token_count,intervention_anchor,lead_subjects,lemma,n_leads,priming_text,probe_form_token_count,probe_form_token_ids,probe_form_token_pieces,probe_subject,probe_subject_animacy,probe_surface,probe_text,probe_token_count,row_id,stem_index,tokenizer_model,verb_final_tok_idx,scored_token_index,p_object_raw,p_period,p_object_vs_period,p_token_a,p_token_an,p_token_this,p_token_that,p_token_my,p_token_his,p_token_her,p_token_their,p_token_its,p_token_our,p_token_your,p_token_it,p_token_them,p_token_some,p_token_these,p_token_those
aligned,T+,"In the lab, the artist pleeshoped the plate. During the check, the door pleeshoped the toy. After the visit, the worker pleeshoped the rope. Tomorrow, the box will pleeshop",44,verb_final_subtoken,"[{'animacy': 'animate', 'object': 'plate', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': 'toy', 'subject': 'door'}, {'animacy': 'animate', 'object': 'rope', 'subject': 'worker'}]",pleeshop,3,"In the lab, the artist pleeshoped the plate. During the check, the door pleeshoped the toy. After the visit, the worker pleeshoped the rope.",3,"[2318, 265, 12242]","['Ġple', 'es', 'hop']",box,inanimate, pleeshop,"Tomorrow, the box will pleeshop",8,nonce|0000|pleeshop|T+,0,EleutherAI/pythia-1.4b,43,43,0.07174074649810791,0.0200641006231308,0.7814483642578125,0.03308010846376419,0.003076929599046707,0.0019866148941218853,0.0013653791975229979,0.0011319391196593642,0.0017531814519315958,0.0023963151033967733,0.00030465726740658283,0.012169492430984974,0.0010633583879098296,0.0017531814519315958,0.007857214659452438,0.0007308347849175334,0.00255086412653327,0.0003674868494272232,0.00015319130034185946
aligned,T-,"In the lab, the rope pleeshoped. During the check, the artist pleeshoped. After the visit, the door pleeshoped. Tomorrow, the box will pleeshop",38,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",pleeshop,3,"In the lab, the rope pleeshoped. During the check, the artist pleeshoped. After the visit, the door pleeshoped.",3,"[2318, 265, 12242]","['Ġple', 'es', 'hop']",box,inanimate, pleeshop,"Tomorrow, the box will pleeshop",8,nonce|0000|pleeshop|T-,0,EleutherAI/pythia-1.4b,37,37,0.013734042644500732,0.6978556513786316,0.01930050738155842,0.0034401402808725834,0.0005615874542854726,0.00043736473890021443,0.0003859730495605618,0.0002341044892091304,0.00019407943182159215,0.0008698037709109485,0.000117715127998963,0.003231713082641363,0.0002652751572895795,0.0009856167016550899,0.002221121685579419,0.00036258812178857625,0.00036258812178857625,3.268831278546713e-05,3.1682597182225436e-05
aligned,T+,"In the lab, the teacher buvived the toy. During the check, the rope buvived the rope. After the visit, the artist buvived the lock. Tomorrow, the chef will buviv",43,verb_final_subtoken,"[{'animacy': 'animate', 'object': 'toy', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': 'rope', 'subject': 'rope'}, {'animacy': 'animate', 'object': 'lock', 'subject': 'artist'}]",buviv,3,"In the lab, the teacher buvived the toy. During the check, the rope buvived the rope. After the visit, the artist buvived the lock.",2,"[1081, 40418]","['Ġbu', 'viv']",chef,animate, buviv,"Tomorrow, the chef will buviv",7,nonce|0001|buviv|T+,1,EleutherAI/pythia-1.4b,42,42,0.014351001009345055,0.0012195045128464699,0.9216785430908203,0.002581691136583686,0.0007396668079309165,0.0012981556355953217,0.0005411517922766507,2.86799968307605e-05,0.0045310091227293015,0.0006527536897920072,0.00032822517096064985,0.00012074728874722496,0.00016504198720213026,0.00016504198720213026,0.002581691136583686,0.0003493938420433551,0.00010655910591594875,0.00012074728874722496,4.044528031954542e-05
aligned,T-,"In the lab, the worker buvived. During the check, the glass buvived. After the visit, the teacher buvived. Tomorrow, the chef will buviv",37,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}]",buviv,3,"In the lab, the worker buvived. During the check, the glass buvived. After the visit, the teacher buvived.",2,"[1081, 40418]","['Ġbu', 'viv']",chef,animate, buviv,"Tomorrow, the chef will buviv",7,nonce|0001|buviv|T-,1,EleutherAI/pythia-1.4b,36,36,0.011960513889789581,0.035276859998703,0.2532002329826355,0.0010652687633410096,0.0004171653126832098,0.001456049969419837,0.0009400964481756091,4.003413414466195e-05,0.0037181538064032793,0.0007321478333324194,0.00039189052768051624,0.0001122785106417723,0.0003458421560935676,0.00022329247440211475,0.0013678321847692132,0.000779367343056947,9.308214794145897e-05,0.00022329247440211475,5.4720178013667464e-05
aligned,T+,"In the lab, the door mexived the rope. During the check, the worker mexived the lock. After the visit, the glass mexived the towel. Tomorrow, the driver will mexiv",43,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': 'rope', 'subject': 'door'}, {'animacy': 'animate', 'object': 'lock', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': 'towel', 'subject': 'glass'}]",mexiv,3,"In the lab, the door mexived the rope. During the check, the worker mexived the lock. After the visit, the glass mexived the towel.",2,"[479, 32693]","['Ġme', 'xiv']",driver,animate, mexiv,"Tomorrow, the driver will mexiv",7,nonce|0002|mexiv|T+,2,EleutherAI/pythia-1.4b,42,42,0.030423307791352272,0.011749358847737312,0.7213987112045288,0.006288978271186352,0.0010266475146636367,0.0019180300878360868,0.0010266475146636367,0.004897861275821924,0.0033662477508187294,0.0005162307643331587,0.0003333036438561976,0.0001389416283927858,0.0005495248478837311,0.0002763184311334044,0.008596014231443405,0.0007511113653890789,0.0004279703425709158,0.00024385013966821134,6.563137867487967e-05
aligned,T-,"In the lab, the artist mexived. During the check, the door mexived. After the visit, the worker mexived. Tomorrow, the driver will mexiv",37,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}]",mexiv,3,"In the lab, the artist mexived. During the check, the door mexived. After the visit, the worker mexived.",2,"[479, 32693]","['Ġme', 'xiv']",driver,animate, mexiv,"Tomorrow, the driver will mexiv",7,nonce|0002|mexiv|T-,2,EleutherAI/pythia-1.4b,36,36,0.014089487493038177,0.5630978345870972,0.02441059798002243,0.0015816260129213333,0.00045314340968616307,0.0004823686322197318,0.0005818476201966405,0.002775839762762189,0.0016836320282891393,0.00042568883509375155,0.00013820093590766191,0.00014711411495227367,0.0005818476201966405,0.00021404979634098709,0.004576586652547121,0.0002581933222245425,9.799913823371753e-05,7.632180495420471e-05,1.5028655070636887e-05
aligned,T+,"In the lab, the glass difeved the box. During the check, the teacher difeved the cup. After the visit, the rope difeved the plate. During the trial, the box will difev",45,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': 'box', 'subject': 'glass'}, {'animacy': 'animate', 'object': 'cup', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': 'plate', 'subject': 'rope'}]",difev,3,"In the lab, the glass difeved the box. During the check, the teacher difeved the cup. After the visit, the rope difeved the plate.",2,"[722, 1173]","['Ġdif', 'ev']",box,inanimate, difev,"During the trial, the box will difev",9,nonce|0003|difev|T+,3,EleutherAI/pythia-1.4b,44,44,0.008935840800404549,0.002698075957596302,0.7680853009223938,0.0019739544950425625,0.00030271572177298367,0.0002671457186806947,0.00023575522936880589,0.0001261907018488273,4.361033643363044e-05,4.6422963350778446e-05,2.9972914489917457e-05,0.0003222392115276307,0.0005655473796650767,7.190128235379234e-05,0.004448375198990107,0.00038869469426572323,3.8485984987346455e-05,6.345266592688859e-05,1.1376435395504814e-05
aligned,T-,"In the lab, the artist difeved. During the check, the door difeved. After the visit, the worker difeved. During the trial, the box will difev",39,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}]",difev,3,"In the lab, the artist difeved. During the check, the door difeved. After the visit, the worker difeved.",2,"[722, 1173]","['Ġdif', 'ev']",box,inanimate, difev,"During the trial, the box will difev",9,nonce|0003|difev|T-,3,EleutherAI/pythia-1.4b,38,38,0.0007083062082529068,0.017606986686587334,0.03867293894290924,0.00011144721793243662,1.4168922461976763e-05,2.99956100207055e-05,2.647103428898845e-05,9.148144272330683e-06,5.37791675014887e-06,8.593886377639137e-06,6.287421001616167e-06,4.0999133489094675e-05,8.679517486598343e-05,1.2504030564741697e-05,0.00028459043824113905,5.965339005342685e-05,2.6209872885374352e-06,8.593886377639137e-06,1.0589745897959801e-06
aligned,T+,"In the lab, the door novived the toy. During the check, the worker novived the rope. After the visit, the glass novived the lock. During the trial, the paper will noviv",42,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': 'toy', 'subject': 'door'}, {'animacy': 'animate', 'object': 'rope', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': 'lock', 'subject': 'glass'}]",noviv,3,"In the lab, the door novived the toy. During the check, the worker novived the rope. After the visit, the glass novived the lock.",2,"[22458, 400]","['Ġnov', 'iv']",paper,inanimate, noviv,"During the trial, the paper will noviv",9,nonce|0004|noviv|T+,4,EleutherAI/pythia-1.4b,41,41,0.006402472034096718,0.003855382092297077,0.6241531372070312,0.0015097892610356212,0.00031646902789361775,0.0011045854771509767,0.0007131739985197783,1.4801454199186992e-05,7.755407568765804e-05,0.00014948939497116953,7.755407568765804e-05,0.0004901568172499537,0.000140432282933034,4.7038920456543565e-05,0.0013323845341801643,0.00020432777819223702,3.779683538596146e-05,0.0001319239236181602,5.499407052411698e-05
aligned,T-,"In the lab, the rope novived. During the check, the artist novived. After the visit, the door novived. During the trial, the paper will noviv",36,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",noviv,3,"In the lab, the rope novived. During the check, the artist novived. After the visit, the door novived.",2,"[22458, 400]","['Ġnov', 'iv']",paper,inanimate, noviv,"During the trial, the paper will noviv",9,nonce|0004|noviv|T-,4,EleutherAI/pythia-1.4b,35,35,0.0046601928770542145,0.09492272883653641,0.04679710790514946,0.0014413254102692008,0.00036442416603676975,0.0004395794530864805,0.0004679299017880112,4.490586798056029e-05,8.389520371565595e-05,0.0001721417938824743,0.00011831119627458975,0.0003021182492375374,0.00010440926416777074,7.403725612675771e-05,0.0008212425746023655,0.00011831119627458975,3.1843028409639373e-05,4.9319449317408726e-05,2.639879494381603e-05
