band,good_lemma,patient,agent
head,furnish,room,designer
head,attain,goal,student
head,assign,task,manager
head,pronounce,word,speaker
head,sack,employee,manager
head,punish,child,teacher
head,weigh,package,clerk
head,owe,payment,customer
head,curve,road,engineer
head,inform,customer,clerk
head,bless,child,priest
head,overcome,obstacle,athlete
head,recover,document,investigator
head,mask,face,performer
head,invest,fund,banker
head,monitor,patient,doctor
head,defend,city,soldier
head,earn,prize,student
head,replace,part,mechanic
head,reserve,table,customer
head,recommend,book,teacher
head,supply,tool,company
head,receive,letter,student
head,rule,country,leader
head,allow,change,manager
head,tax,income,government
head,insure,house,company
head,confront,suspect,officer
head,impose,fine,judge
head,lend,book,librarian
head,exhibit,painting,museum
head,lease,apartment,landlord
head,upgrade,software,engineer
head,sum,amount,accountant
head,rob,bank,thief
head,introduce,guest,host
head,celebrate,victory,team
head,crown,king,priest
head,load,truck,worker
head,blame,manager,worker
head,measure,distance,scientist
head,host,conference,university
head,bet,money,gambler
head,target,building,soldier
head,score,goal,player
head,hate,rival,coach
head,send,letter,clerk
head,rate,film,critic
head,include,chapter,editor
head,thank,teacher,student
tail,disfigure,statue,vandal
tail,commandeer,vehicle,soldier
tail,electrocute,prisoner,guard
tail,extol,artist,critic
tail,deride,student,teacher
tail,concoct,story,journalist
tail,popularize,method,researcher
tail,subjugate,province,empire
tail,appraise,painting,dealer
tail,supplant,incumbent,challenger
tail,disparage,proposal,reviewer
tail,feign,illness,actor
tail,sate,hunger,meal
tail,christen,infant,priest
tail,clench,fist,boxer
tail,flog,prisoner,guard
tail,patronize,artist,banker
tail,squander,inheritance,heir
tail,quash,motion,judge
tail,scrutinize,report,auditor
tail,splatter,wall,painter
tail,elude,hunter,fox
tail,extort,confession,detective
tail,overestimate,cost,accountant
tail,tinge,cloth,dye
tail,defraud,investor,broker
tail,smother,victim,assailant
tail,belittle,student,teacher
tail,annihilate,city,army
tail,befriend,newcomer,neighbor
tail,profess,faith,monk
tail,dissuade,student,counselor
tail,retract,statement,spokesperson
tail,purify,water,chemist
tail,rouse,sleeper,nurse
tail,loathe,rival,champion
tail,sully,reputation,columnist
tail,pluck,flower,child
tail,clutter,room,wardrobe
tail,shun,newcomer,neighbor
tail,unload,truck,driver
tail,dismay,audience,speaker
tail,encompass,village,forest
tail,outweigh,benefit,cost
tail,nurture,child,parent
tail,relish,opportunity,student
tail,inhibit,reaction,drug
tail,ridicule,actor,critic
tail,slander,politician,journalist
tail,fleece,tourist,vendor
tail,reuse,material,engineer
tail,evade,guard,prisoner
tail,distrust,advisor,leader
tail,hound,witness,reporter
tail,deter,burglar,guard
tail,commemorate,event,community
tail,stash,package,smuggler
tail,safeguard,document,clerk
tail,heap,soil,gardener
tail,quarry,stone,miner
tail,scrub,floor,cleaner
tail,grease,wheel,mechanic
tail,troll,student,bully
tail,perfume,room,florist
tail,behold,sunset,tourist
tail,dice,onion,chef
tail,galvanize,crowd,leader
tail,blurt,secret,witness
tail,eschew,habit,monk
tail,outdo,champion,challenger
tail,reinstall,program,technician
tail,whitewash,wall,painter
tail,ingest,pill,patient
tail,coerce,witness,officer
tail,recast,statue,sculptor
tail,subvert,plan,spy
tail,quell,riot,officer
tail,preclude,option,rule
tail,garnish,dish,chef
tail,stow,luggage,traveler
tail,transcend,limit,athlete
tail,nab,thief,officer
tail,stockpile,medicine,government
tail,imitate,singer,comic
tail,exert,influence,manager
